Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
BYU,104.897,93.8644,0.782096,52.0,47.7,18.1,21.5,30.0,26.8,71.8099,0.415546,2012
Iona,114.703,103.665,0.761985,56.5,51.1,17.4,22.2,32.1,32.3,69.9811,0.194263,2012
Western Kentucky,97.8081,99.9698,0.43748,44.4,47.4,22.1,21.1,34.1,32.4,67.7592,-10.178,2012
Mississippi Valley St.,96.0068,105.092,0.261189,46.3,49.6,20.6,23.5,33.3,32.3,69.0248,-4.8373,2012
South Florida,103.359,90.065,0.82967,48.3,44.1,22.5,18.6,34.1,30.5,58.4835,0.0109409,2012
California,110.238,94.7578,0.850706,51.7,46.5,18.2,19.4,32.0,27.2,65.7169,1.82111,2012
Vermont,103.881,100.071,0.605816,49.3,45.5,19.4,19.7,34.3,30.6,62.2465,-5.35851,2012
Lamar,106.013,102.382,0.598878,46.2,46.9,17.5,20.1,37.6,30.5,66.2145,-4.20106,2012
Baylor,116.433,95.5866,0.906253,52.3,47.6,20.4,21.0,38.0,32.3,65.5813,6.96003,2012
South Dakota St.,112.718,101.07,0.778043,53.7,50.0,15.8,19.2,30.3,28.6,65.0908,-0.409856,2012
Colorado,105.027,94.6127,0.768693,49.5,46.9,19.6,18.4,29.2,28.8,64.9213,-0.280254,2012
UNLV,109.159,93.2956,0.858857,52.7,46.3,19.2,21.3,32.2,30.2,68.9709,2.82548,2012
Gonzaga,113.391,95.187,0.882102,53.5,46.6,19.7,19.4,34.6,28.0,64.7772,2.12507,2012
West Virginia,111.436,97.8459,0.816932,48.3,49.8,19.2,20.2,40.9,30.1,64.2966,-0.199738,2012
Indiana,121.159,98.184,0.91819,55.2,48.1,19.2,20.0,35.3,31.3,66.5889,5.73402,2012
New Mexico St.,107.763,98.7591,0.731732,51.0,48.3,20.8,20.4,40.6,29.7,69.7841,-1.87432,2012
Iowa St.,113.873,96.7101,0.867465,52.6,48.6,18.3,17.2,32.3,26.5,66.0592,1.87154,2012
Connecticut,111.003,96.221,0.837998,50.0,44.6,19.0,16.9,36.3,34.8,63.0395,0.473241,2012
Kansas St.,109.362,93.1603,0.863415,48.9,46.0,21.2,23.5,40.7,33.7,66.3356,2.11047,2012
Southern Miss,111.297,100.721,0.759183,46.2,50.5,16.4,21.2,36.5,28.2,63.6269,1.27346,2012
Kentucky,123.501,90.4276,0.973001,53.8,42.0,17.1,17.6,37.8,31.2,65.2691,11.2513,2012
Louisville,105.671,86.3945,0.910212,47.3,43.3,20.7,22.9,35.7,33.9,65.8676,5.51515,2012
Davidson,111.783,100.092,0.780815,50.9,47.2,17.2,17.5,35.0,27.0,67.2604,-0.320623,2012
Marquette,111.239,92.081,0.897858,50.1,45.4,18.6,23.3,33.9,35.3,69.9733,6.07573,2012
Murray St.,106.932,93.7547,0.819411,53.5,45.6,20.7,24.1,34.1,34.1,64.9912,3.9056,2012
Colorado St.,111.442,102.809,0.716516,53.0,50.3,19.6,18.4,28.7,29.4,63.5352,-0.935473,2012
New Mexico,110.769,91.6335,0.898526,52.8,44.4,20.0,21.3,34.3,27.7,65.4603,2.91699,2012
Long Beach St.,109.304,96.5937,0.8056,52.3,47.7,19.1,21.7,34.4,31.4,66.2104,0.983644,2012
Ohio St.,117.897,88.1208,0.96603,52.1,46.4,17.6,22.2,35.7,25.2,67.1039,7.71312,2012
Loyola MD,103.49,100.141,0.593449,47.2,47.8,20.6,22.0,38.1,33.4,63.5421,-1.37858,2012
Syracuse,117.687,93.0345,0.937214,52.1,44.2,16.1,24.4,36.3,39.6,64.63,10.8106,2012
UNC Asheville,108.795,104.822,0.605356,52.6,51.3,19.2,22.2,32.9,35.2,68.2024,-3.22831,2012
VCU,107.364,93.1202,0.837101,47.6,47.3,17.4,27.3,33.4,33.9,64.944,2.31938,2012
Wichita St.,116.779,93.5721,0.927429,53.8,44.8,17.9,18.6,33.4,26.4,65.6495,4.43204,2012
Vanderbilt,116.342,94.4468,0.916651,54.1,46.9,20.0,19.0,32.2,31.7,64.9274,4.02971,2012
Harvard,108.703,95.0115,0.824645,52.5,45.4,20.4,20.0,30.7,26.9,60.2773,2.33415,2012
Wisconsin,114.156,90.4492,0.935654,50.1,42.5,15.0,18.2,30.6,27.8,57.4937,4.81773,2012
Montana,102.426,96.4482,0.66631,52.5,45.3,18.5,22.1,27.4,31.6,64.5465,-1.54455,2012
Cincinnati,110.709,92.8693,0.882952,48.0,46.2,16.8,21.5,35.7,34.4,63.2028,2.98871,2012
Texas,111.576,97.8866,0.818364,48.5,46.9,18.6,20.1,38.5,34.5,64.6667,0.831501,2012
Creighton,119.396,103.671,0.835359,57.8,49.6,17.7,15.3,30.8,26.1,66.0612,4.76574,2012
Alabama,105.528,89.7105,0.866159,49.1,43.7,20.2,21.2,33.5,31.6,61.7911,1.55705,2012
Florida,121.777,97.8664,0.925098,54.8,47.8,16.9,19.1,33.5,30.2,64.4424,3.04812,2012
Virginia,104.534,89.117,0.862354,50.7,44.7,18.7,21.0,27.1,25.5,59.4701,1.96527,2012
Florida St.,108.247,90.1796,0.890903,51.2,43.7,23.6,22.2,35.4,33.1,66.4706,4.27194,2012
St. Bonaventure,112.13,97.8833,0.826728,50.8,47.1,21.5,19.0,36.4,29.6,63.2956,-1.0443,2012
Georgetown,111.653,90.7341,0.91574,51.4,43.1,19.6,19.8,35.5,30.6,62.0476,4.62365,2012
Belmont,116.652,100.311,0.850128,55.5,48.3,17.6,20.7,34.4,32.0,66.8515,0.932047,2012
Kansas,114.128,88.6091,0.948365,52.3,43.4,19.2,20.2,34.9,29.1,66.352,8.21539,2012
Detroit Mercy,107.476,102.808,0.624974,48.0,50.9,19.1,22.4,35.2,32.6,66.8259,0.0,2012
Lehigh,107.563,99.2611,0.715806,50.4,47.2,16.5,21.3,31.2,29.6,67.4731,-1.12142,2012
Duke,117.193,96.8748,0.899316,52.8,47.1,17.7,18.5,34.7,31.9,67.126,7.98133,2012
Michigan St.,114.285,88.2995,0.951042,52.7,43.3,19.9,19.3,36.7,27.0,64.6546,8.57958,2012
LIU,109.273,107.939,0.535245,53.2,49.4,21.4,18.4,34.1,34.3,73.1196,0.0,2012
N.C. State,112.647,97.1828,0.845288,50.4,47.1,18.7,18.3,35.8,30.7,66.9231,0.0,2012
San Diego St.,106.301,96.1516,0.76024,50.1,47.0,18.7,18.6,30.9,27.0,65.5354,2.9225,2012
Norfolk St.,100.003,102.119,0.440098,49.4,46.4,21.0,19.5,33.7,33.0,66.7065,-2.66948,2012
Missouri,126.212,100.247,0.933931,58.0,50.1,15.4,21.5,30.4,32.2,65.4897,8.7389,2012
North Carolina,116.459,90.5492,0.947547,49.8,45.0,16.4,18.3,39.9,27.5,71.501,8.34878,2012
Ohio,106.894,94.8545,0.798054,48.9,47.1,19.3,26.2,33.8,34.2,65.8265,0.446576,2012
Michigan,114.72,96.8871,0.874674,53.4,49.0,17.6,19.9,28.3,30.6,60.5356,6.23744,2012
Purdue,117.834,99.5272,0.874537,51.1,49.9,13.5,19.5,31.8,31.5,64.2757,1.75101,2012
Saint Mary's,112.532,99.5971,0.802858,53.3,48.4,18.1,18.4,35.9,26.1,63.6007,2.86072,2012
Temple,114.046,97.6123,0.856854,52.9,48.4,18.0,19.4,31.0,31.7,66.061,4.2155,2012
Saint Louis,111.751,90.8759,0.915131,51.8,45.1,17.9,23.0,31.5,29.1,61.2285,2.77464,2012
Memphis,113.73,92.4149,0.915806,54.0,43.4,18.7,20.7,31.3,32.8,67.2536,3.00269,2012
Xavier,108.208,96.8225,0.782205,49.7,45.6,18.5,18.4,31.9,30.2,66.4598,0.697422,2012
Notre Dame,109.917,97.712,0.794718,49.5,45.8,16.1,17.3,30.5,32.3,60.9047,2.22028,2012
