Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,104.283,106.701,0.434467,50.3,49.7,16.8,16.6,33.1,26.2,64.2597,2019,-5.84772
Arkansas Pine Bluff,95.2608,111.619,0.139146,48.4,51.6,22.1,19.7,29.1,30.7,65.5377,2019,-13.7911
Toledo,109.593,98.8458,0.766196,53.2,46.8,17.4,15.4,28.1,25.7,67.6002,2019,0.0781433
Indiana,108.306,96.4414,0.791556,51.0,48.2,17.9,18.1,28.1,28.1,66.9095,2019,-0.00430352
Louisiana,107.392,107.527,0.496382,50.9,53.2,17.4,20.0,29.1,31.9,71.8412,2019,-6.22114
Central Michigan,110.242,106.316,0.602761,51.4,50.1,16.2,18.7,31.0,33.1,70.9299,2019,-3.75491
Brown,99.6086,98.2125,0.540492,50.4,48.0,20.3,20.9,24.5,27.5,71.0102,2019,-5.45468
Wright St.,107.366,101.021,0.668322,51.0,53.1,17.3,20.1,30.8,25.9,65.2037,2019,-6.35161
UC Irvine,108.264,98.6025,0.745539,51.3,44.1,17.5,16.7,33.7,27.0,64.9978,2019,0.933967
Furman,108.757,97.6086,0.776212,55.4,47.9,18.4,20.1,28.7,30.0,66.4232,2019,-0.25747
UAB,107.168,105.976,0.53212,50.4,49.4,16.8,17.9,30.6,26.2,65.0297,2019,-7.24047
Tulane,97.9051,106.104,0.283978,47.1,50.6,21.0,15.1,27.0,30.9,69.6662,2019,-17.0708
FIU,102.424,106.055,0.401163,48.9,53.1,17.7,23.4,25.7,34.4,77.802,2019,-7.66072
BYU,111.028,103.799,0.68444,52.8,50.7,15.3,17.6,23.7,27.0,70.995,2019,-2.93375
Illinois Chicago,101.514,102.343,0.476641,53.3,48.3,20.0,17.6,24.9,30.4,70.2537,2019,-9.84485
Xavier,111.261,100.322,0.766768,52.8,50.7,19.6,16.2,32.2,27.2,65.1303,2019,-2.77936
Charlotte,95.6653,108.532,0.18982,48.1,51.3,22.0,17.9,22.3,26.4,64.5372,2019,-15.1812
Canisius,102.215,111.85,0.261934,50.5,53.6,18.6,20.5,27.0,31.9,67.7924,2019,-11.4599
