Simulation,Champion
1,Illinois
2,Duke
3,Purdue
4,Michigan
5,Purdue
6,Duke
7,Michigan
8,Houston
9,Michigan
10,Iowa St.
11,Duke
12,Florida
13,Houston
14,Arizona
15,Louisville
16,Duke
17,Purdue
18,Purdue
19,Florida
20,Tennessee
21,Duke
22,Houston
23,Michigan
24,Houston
25,Houston
26,Purdue
27,Iowa St.
28,Connecticut
29,Houston
30,Michigan
31,Arizona
32,Michigan
33,Houston
34,Houston
35,Illinois
36,Iowa St.
37,Michigan
38,Illinois
39,Purdue
40,Duke
41,Duke
42,Purdue
43,Illinois
44,Houston
45,Michigan
46,Connecticut
47,Michigan
48,Houston
49,Purdue
50,Houston
51,Texas Tech
52,Texas Tech
53,Duke
54,Wisconsin
55,Purdue
56,Vanderbilt
57,Purdue
58,Ohio St.
59,Iowa St.
60,Tennessee
61,Michigan
62,Purdue
63,Duke
64,Illinois
65,Vanderbilt
66,Duke
67,Florida
68,Florida
69,Michigan
70,Duke
71,Purdue
72,Houston
73,Duke
74,Iowa St.
75,Florida
76,Purdue
77,Duke
78,Michigan
79,Florida
80,Virginia
81,Houston
82,Michigan
83,Ohio St.
84,Houston
85,Iowa St.
86,Purdue
87,Iowa
88,Illinois
89,Florida
90,Michigan
91,Texas Tech
92,Alabama
93,Iowa St.
94,Duke
95,Purdue
96,Houston
97,Duke
98,Florida
99,Illinois
100,Purdue
