
"UC Santa Barbara",110.028,105.733,0.612535,27-8,27,35,54.1,50.1,34.4,29.2,17,18.5,26.3,26.1,64.4424,54.8,49.3,34.8,34.6,0,0,52.9,48.6,29.2,31.5,64.4424,,,,2023,,,,-1.51262,73.6,
"Arkansas Pine Bluff",94.0609,106.954,0.185839,10-21,10,31,45.2,51.4,33.8,43.2,21.6,21.4,26.6,29,69.626,44,51.1,31.1,34.5,0,0,54.1,60,43.4,35.7,69.626,,,,2023,,,,-15.3857,74.1,
"Portland St.",102.42,107.519,0.363835,12-19,12,31,49.6,55,34.8,46.6,16.8,21.3,24,31.4,72.2972,49.7,55,33,36.8,0,0,50,54.2,36.1,33.5,72.2972,,,,2023,,,,-12.8761,73.2,
Indiana,113.084,96.8664,0.855724,23-12,23,35,53.5,47.2,29.5,29.8,16.8,16.3,28.1,29,67.8548,53,45.4,36.8,33.4,0,0,53.6,47.9,26.6,37.8,67.8548,,,,2023,,,,3.42582,71.1,
Louisiana,110.758,101.586,0.729901,26-8,26,34,52.8,50.5,37,34.2,17.7,18.4,33.3,26.3,68.3512,51.9,49.3,36.5,35.6,0,0,50.9,43.4,31.7,30.1,68.3512,,,,2023,,,,-0.530752,67.1,
"Central Michigan",92.0297,108.122,0.1355,10-21,10,31,46.5,51.9,36.9,41,22.9,19.2,30.5,32.5,67.2441,47.4,50.9,30,35.6,0,0,47.6,51.6,38.1,40.5,67.2441,,,,2023,,,,-15.3423,70.4,
Brown,100.107,99.6584,0.51292,14-13,14,27,50.7,51.2,29.8,26.9,19,19.7,23.4,23.7,69.2991,49.8,50.4,34.7,35,0,0,54.5,47,39.9,37.1,69.2991,,,,2023,,,,-7.1836,64.2,
"Wright St.",103.398,105.408,0.444874,18-15,18,33,53.5,50.3,24,27.6,17.3,17.2,26.2,26.6,71.1539,53.9,51.2,35.1,32.6,0,0,48.1,41.1,28.2,37.8,71.1539,,,,2023,,,,-10.9642,74.5,
"UC Irvine",105.946,99.0634,0.684055,23-12,23,35,51.5,45.8,29.3,36.9,17.5,17.5,27.4,27,69.4169,49.4,44.2,37.2,32.5,0,0,52.4,50.7,32.2,35.5,69.4169,,,,2023,,,,-4.46685,72.8,
Montana,107.771,107.482,0.507727,17-14,17,31,53.8,51.2,29.1,37.9,17.3,15.9,24.4,25.1,63.5157,52.4,52.5,37.3,32.5,0,0,49.5,45.6,39.8,35,63.5157,,,,2023,,,,-7.88363,78.9,
UAB,112.431,96.9912,0.845368,29-10,29,39,50.3,47.3,35.7,28.9,17.3,19.3,35.8,29.3,70.7075,48.8,47.2,35.6,31.6,0,0,49,48.5,31.5,38.1,70.7075,,,,2023,,,,-0.476368,74,
Tulane,108.744,102.361,0.66722,20-11,20,31,52.4,50.4,35.4,29.6,15.1,19.3,19.3,30.5,72.8763,53.4,48.2,33.8,35.7,0,0,56.3,62.5,38.1,42,72.8763,,,,2023,,,,-2.05609,77.7,
