Season,WTeamID,LTeamID,TeamID_W,Team_W,AdjOE_W,AdjDE_W,BARTHAG_W,EFG%_W,EFGD%_W,TOR_W,TORD_W,ORB_W,DRB_W,ADJ T_W,WAB_W,TeamID_L,Team_L,AdjOE_L,AdjDE_L,BARTHAG_L,EFG%_L,EFGD%_L,TOR_L,TORD_L,ORB_L,DRB_L,ADJ T_L,WAB_L
2015,1214,1264,1214.0,Hampton,97.0827,103.985,0.312207,45.6,46.4,20.2,20.1,31.8,30.9,68.99,-12.3452,1264.0,Manhattan,102.01,100.969,0.529437,49.4,48.1,21.1,23.9,30.9,33.1,67.4031,-7.36951
2015,1279,1140,1279.0,Mississippi,113.66,101.43,0.787382,47.8,47.6,16.5,18.7,34.8,31.4,65.938,-0.55375,1140.0,BYU,120.043,102.393,0.861626,53.2,49.6,16.4,17.7,33.4,28.4,70.2391,0.931277
2015,1173,1129,1173.0,Dayton,108.805,96.5732,0.79761,52.9,47.3,17.9,21.1,23.3,28.4,63.214,0.902744,1129.0,Boise St.,111.417,97.8741,0.816141,53.2,47.6,16.1,19.4,27.8,25.6,62.8372,0.468527
2015,1352,1316,1352.0,Robert Morris,102.849,105.06,0.439166,50.1,49.3,19.8,21.8,31.0,35.9,65.3572,-8.29708,1316.0,North Florida,107.34,106.769,0.515325,53.6,47.9,18.3,17.9,29.2,31.8,66.8448,-4.9182
2015,1112,1411,1112.0,Arizona,119.167,89.1855,0.965536,53.5,45.1,16.5,20.6,34.5,22.4,66.1067,8.94257,1411.0,Texas Southern,104.333,109.709,0.359427,49.5,49.3,19.7,18.7,33.8,34.6,63.0838,-4.30104
2015,1116,1459,1116.0,Arkansas,114.966,98.2623,0.85881,50.0,48.3,16.9,22.3,35.7,34.6,69.3164,3.80335,1459.0,Wofford,104.737,98.8259,0.661074,51.1,47.0,17.2,20.0,29.4,27.7,60.6067,0.471083
2015,1139,1400,1139.0,Butler,109.933,90.7722,0.900467,48.4,46.7,17.0,19.5,34.7,25.3,63.272,3.35974,1400.0,Texas,112.146,93.6412,0.888328,49.1,42.1,20.1,14.0,37.9,28.6,62.1763,0.773671
2015,1153,1345,1153.0,Cincinnati,108.345,94.2106,0.833072,49.5,44.1,21.0,19.9,37.3,32.3,59.6883,-1.16299,1345.0,Purdue,112.051,96.2591,0.851572,50.3,45.4,19.9,17.6,36.5,30.9,64.4229,0.901629
2015,1207,1186,1207.0,Georgetown,114.261,95.9807,0.881311,51.3,47.1,19.2,20.2,34.3,31.0,63.9418,3.60161,1186.0,Eastern Washington,112.285,109.403,0.574189,55.1,52.3,15.9,17.8,29.3,30.7,67.9239,-2.28923
2015,1209,1124,1209.0,Georgia St.,111.669,100.046,0.779716,52.0,45.8,16.3,23.2,30.0,34.8,62.5343,-2.61048,1124.0,Baylor,117.671,94.9518,0.921799,49.8,45.8,20.1,19.3,41.9,31.5,61.4342,4.78146
2015,1246,1214,1246.0,Kentucky,121.769,86.1481,0.981652,51.5,39.6,16.3,21.3,39.5,31.8,62.8339,12.9584,1214.0,Hampton,97.0827,103.985,0.312207,45.6,46.4,20.2,20.1,31.8,30.9,68.99,-12.3452
2015,1301,1261,1301.0,N.C. State,115.638,99.0916,0.855182,49.3,45.5,16.0,14.9,33.9,30.2,64.1303,0.0,1261.0,LSU,109.342,95.1512,0.831833,50.3,44.6,20.2,19.1,33.9,32.9,69.5274,0.449064
2015,1314,1217,1314.0,North Carolina,121.174,94.6464,0.944875,51.6,45.4,18.2,17.7,40.0,31.2,69.2838,6.38167,1217.0,Harvard,104.384,96.9191,0.701258,47.1,46.6,18.4,20.1,32.4,28.4,60.9733,-1.08275
2015,1323,1318,1323.0,Notre Dame,126.963,100.9,0.933534,58.3,47.9,14.5,17.3,27.9,32.2,63.3024,8.4422,1318.0,Northeastern,109.039,102.928,0.660001,54.5,49.8,21.5,15.5,30.1,25.3,63.0276,-4.24514
2015,1326,1433,1326.0,Ohio St.,115.519,95.3516,0.900824,54.2,46.4,17.0,21.6,33.5,32.0,65.6467,2.39515,1433.0,VCU,110.352,96.1304,0.830142,48.7,49.5,15.7,23.5,31.8,30.6,66.5889,3.14878
2015,1412,1235,1412.0,UAB,104.499,102.076,0.567033,47.6,47.6,20.1,19.7,34.2,33.1,64.7184,-7.23686,1235.0,Iowa St.,119.117,98.1917,0.902173,54.3,47.6,15.8,18.5,28.3,29.6,69.2037,6.79164
2015,1417,1374,1417.0,UCLA,113.406,98.8769,0.828733,49.6,48.5,17.6,17.9,33.8,28.6,66.1675,-0.0491262,1374.0,SMU,112.911,96.6547,0.856654,52.1,45.7,19.5,20.3,36.6,29.2,62.9948,3.2961
2015,1428,1372,1428.0,Utah,116.472,90.9676,0.944915,55.2,43.0,18.2,18.3,31.3,28.4,60.7299,3.65454,1372.0,Stephen F. Austin,113.085,100.564,0.794049,55.6,49.0,20.3,24.5,37.6,29.6,65.7469,1.47675
2015,1437,1248,1437.0,Villanova,123.608,93.3355,0.961968,55.3,45.5,16.3,21.6,32.5,31.2,64.07,11.2273,1248.0,Lafayette,112.053,116.162,0.397922,55.8,53.5,17.1,16.8,27.7,34.5,64.5024,-6.79617
2015,1462,1279,1462.0,Xavier,117.404,97.3874,0.895633,53.3,50.0,18.1,18.8,31.3,27.3,64.9273,1.26713,1279.0,Mississippi,113.66,101.43,0.787382,47.8,47.6,16.5,18.7,34.8,31.4,65.938,-0.55375
2015,1173,1344,1173.0,Dayton,108.805,96.5732,0.79761,52.9,47.3,17.9,21.1,23.3,28.4,63.214,0.902744,1344.0,Providence,113.018,95.8905,0.868746,48.4,48.2,18.1,19.7,35.2,29.0,65.1325,3.55236
2015,1181,1352,1181.0,Duke,126.79,92.8024,0.973109,56.6,46.5,16.3,18.6,35.8,30.2,65.7698,10.5568,1352.0,Robert Morris,102.849,105.06,0.439166,50.1,49.3,19.8,21.8,31.0,35.9,65.3572,-8.29708
2015,1211,1295,1211.0,Gonzaga,121.999,95.1975,0.945459,57.9,44.2,16.1,17.1,33.9,28.0,64.5667,7.87254,1295.0,North Dakota St.,102.771,102.489,0.507896,49.7,48.1,16.0,16.5,26.1,23.7,60.8344,-3.69311
2015,1234,1172,1234.0,Iowa,115.337,94.123,0.911929,48.1,45.6,17.1,18.9,35.6,30.3,63.9704,1.97332,1172.0,Davidson,120.207,104.247,0.837287,55.4,49.3,14.1,17.0,29.6,30.4,66.5731,1.82011
2015,1242,1308,1242.0,Kansas,114.892,92.8668,0.920381,49.4,44.6,19.2,17.5,34.9,31.6,66.5888,8.74019,1308.0,New Mexico St.,106.153,100.065,0.663562,50.6,46.4,21.8,20.6,39.3,31.0,63.4145,-4.25765
2015,1257,1414,1257.0,Louisville,110.968,89.6268,0.921021,47.7,44.0,17.2,21.3,34.7,30.8,64.9462,5.66077,1414.0,UC Irvine,106.986,98.9253,0.711129,50.7,44.7,18.2,17.2,30.0,30.7,63.2787,-4.31393
2015,1268,1434,1268.0,Maryland,111.828,96.0427,0.851943,51.2,45.5,18.9,17.2,28.9,30.5,63.8356,6.82749,1434.0,Valparaiso,106.986,96.4939,0.766211,51.3,45.2,19.0,18.6,34.7,27.4,62.4775,0.395785
2015,1277,1208,1277.0,Michigan St.,117.907,94.8071,0.924672,53.2,44.9,17.5,16.5,33.5,27.0,63.3279,2.97339,1208.0,Georgia,109.172,94.7872,0.835458,48.5,44.4,19.2,16.7,32.2,28.5,64.2226,1.52457
2015,1320,1461,1320.0,Northern Iowa,117.278,95.1287,0.917367,55.9,45.6,17.8,19.2,27.0,26.9,57.8476,5.56235,1461.0,Wyoming,104.319,100.066,0.617431,52.2,47.0,18.8,17.9,22.0,27.0,58.585,-1.34771
2015,1328,1107,1328.0,Oklahoma,112.99,90.7304,0.925749,49.3,44.1,17.6,19.7,31.5,31.4,66.8912,4.24923,1107.0,Albany,107.144,104.137,0.581122,49.9,49.6,18.8,20.1,32.6,26.0,60.6658,-2.99263
2015,1332,1329,1332.0,Oregon,115.798,101.285,0.823458,52.3,48.0,16.9,16.7,30.2,31.5,66.3149,2.95439,1329.0,Oklahoma St.,112.276,97.861,0.829242,50.2,46.5,18.5,21.1,26.9,32.6,63.4205,0.0452569
2015,1361,1385,1361.0,San Diego St.,105.002,89.5506,0.861821,46.6,43.5,18.6,21.1,35.7,29.7,60.6221,1.51136,1385.0,St. John's,112.058,96.885,0.841998,49.3,46.4,15.7,19.5,27.6,35.4,66.3764,2.21594
2015,1438,1125,1438.0,Virginia,113.871,86.4022,0.959868,50.6,42.3,15.7,17.9,34.3,24.2,57.7542,9.92144,1125.0,Belmont,110.905,108.589,0.560378,56.5,51.3,20.3,18.5,28.9,29.6,66.9817,-4.42091
