Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
UC Santa Barbara,110.056,103.121,0.678854,49.6,47.8,16.9,17.9,30.7,29.8,62.2514,-5.00738
Arkansas Pine Bluff,92.3704,110.269,0.115392,46.3,51.2,23.5,24.9,30.5,39.5,63.4522,-14.8887
Toledo,113.479,105.67,0.694218,52.3,49.7,18.1,16.2,33.3,29.4,66.5453,-4.72863
Indiana,120.952,105.13,0.833711,54.4,50.3,17.2,15.9,35.3,31.5,66.5463,-0.373078
Louisiana,106.185,102.306,0.605372,50.1,48.0,20.5,18.4,34.6,27.6,69.8127,0.0
Central Michigan,115.328,107.201,0.698534,54.5,51.7,15.1,19.7,28.8,30.9,63.9474,-2.33832
Brown,100.318,106.985,0.323029,47.0,48.5,21.6,16.4,29.8,30.5,67.5744,-12.0059
Wright St.,98.4832,105.474,0.312454,49.8,51.2,19.0,19.8,23.2,30.8,63.0945,-13.4455
UC Irvine,106.986,98.9253,0.711129,50.7,44.7,18.2,17.2,30.0,30.7,63.2787,-4.31393
Montana,106.666,106.197,0.512672,53.7,51.3,18.0,19.9,27.6,28.7,61.8511,-6.78665
UAB,104.499,102.076,0.567033,47.6,47.6,20.1,19.7,34.2,33.1,64.7184,-7.23686
Tulane,99.6676,103.897,0.382729,46.4,49.9,19.9,20.3,32.6,29.3,63.0517,-8.79255
FIU,96.0653,104.615,0.272794,48.2,48.0,22.6,19.2,29.0,31.9,64.4588,-11.1608
BYU,120.043,102.393,0.861626,53.2,49.6,16.4,17.7,33.4,28.4,70.2391,0.931277
Illinois Chicago,100.957,111.312,0.245476,43.6,54.4,17.4,18.0,30.8,28.5,64.8171,-16.5433
Xavier,117.404,97.3874,0.895633,53.3,50.0,18.1,18.8,31.3,27.3,64.9273,1.26713
Charlotte,108.195,108.364,0.495515,51.7,50.6,19.6,18.4,33.7,31.3,66.8044,-9.93451
Canisius,103.384,102.601,0.521829,46.6,46.9,18.4,21.5,34.0,32.3,63.2343,-8.94155
Wake Forest,106.251,100.297,0.659971,47.8,50.9,19.3,17.1,31.8,26.4,68.0654,-5.7527
Florida Atlantic,99.062,109.918,0.232206,48.2,49.9,19.5,16.7,26.0,31.5,63.771,-14.7314
Northeastern,109.039,102.928,0.660001,54.5,49.8,21.5,15.5,30.1,25.3,63.0276,-4.24514
Robert Morris,102.849,105.06,0.439166,50.1,49.3,19.8,21.8,31.0,35.9,65.3572,-8.29708
Seattle,98.7449,103.456,0.369122,50.8,47.0,22.0,17.3,30.9,28.5,61.9001,-11.3027
