Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,92.9857,107.011,0.16582,42.1,52.5,18.3,17.6,30.8,29.6,64.7144,2017,-16.0449
Arkansas Pine Bluff,84.9059,111.532,0.0416128,46.0,52.2,25.9,23.5,29.9,35.4,67.6119,2017,-21.0593
Portland St.,103.883,111.657,0.303664,52.5,56.0,16.1,22.2,25.7,31.3,72.1844,2017,-11.8644
Indiana,116.261,100.89,0.836277,55.2,48.7,21.4,15.7,36.4,28.0,68.3408,2017,-1.1298
Louisiana,110.929,109.693,0.532159,51.5,54.4,17.9,20.1,36.3,27.8,72.2967,2017,0.0
Central Michigan,110.686,118.65,0.310233,51.7,53.5,14.7,15.2,26.7,34.0,74.9605,2017,-10.5745
Brown,103.429,113.924,0.247608,50.7,57.7,19.6,21.2,27.1,29.7,71.3975,2017,-11.4967
Wright St.,106.162,106.186,0.499329,52.0,52.0,20.4,19.5,29.4,26.5,69.1467,2017,-6.67718
UC Irvine,102.919,99.2307,0.603408,50.0,44.1,19.9,15.3,31.9,26.4,66.5785,2017,-7.2934
Furman,107.028,101.906,0.637374,54.9,49.4,19.2,19.5,27.2,27.1,66.0368,2017,-4.69805
UAB,103.907,105.855,0.446791,51.3,49.8,20.0,17.3,30.0,28.1,66.4561,2017,-9.29841
Tulane,104.071,107.49,0.408111,46.4,53.7,18.8,19.7,29.3,32.5,70.6865,2017,-15.4329
FIU,103.415,112.675,0.271676,49.7,53.2,19.2,16.8,29.8,28.0,64.8693,2017,-18.7399
BYU,109.164,100.354,0.724656,51.2,47.9,18.2,16.2,29.1,24.8,76.0009,2017,-2.30969
Illinois Chicago,101.351,107.518,0.336417,50.5,48.1,22.3,16.6,32.5,31.4,71.8549,2017,-13.1464
Xavier,116.27,98.8692,0.865798,51.9,51.6,18.4,17.5,34.5,25.5,67.0475,2017,1.55032
Charlotte,102.587,108.413,0.346325,50.5,52.3,16.1,18.3,20.3,31.0,72.7048,2017,-10.4972
Canisius,107.868,110.295,0.436378,53.1,54.5,18.2,20.8,30.2,32.2,69.3958,2017,-8.85823
Wake Forest,123.021,103.68,0.877292,54.1,52.7,16.4,16.2,30.7,27.7,70.6589,2017,1.28521
Florida Atlantic,98.5629,108.321,0.252438,46.0,51.0,16.6,17.7,26.9,31.2,68.9943,2017,-14.4432
Northeastern,106.163,107.222,0.471502,53.5,52.1,18.5,17.0,25.7,27.0,66.2957,2017,-8.69798
Robert Morris,92.539,99.6725,0.298597,45.1,48.4,21.5,23.7,29.3,31.3,68.818,2017,-13.2749
Seattle,96.1703,103.652,0.297015,50.5,47.6,20.6,19.0,20.6,31.1,67.7702,2017,-11.5939
Villanova,122.9,93.5152,0.958605,57.5,48.1,17.1,20.1,30.2,27.8,64.2722,2017,11.0388
Howard,91.3,110.921,0.0963268,43.5,50.2,21.3,17.6,32.4,32.7,67.452,2017,-18.8928
Utah St.,106.567,104.104,0.566841,52.5,49.2,18.2,15.8,24.9,26.8,66.6912,2017,-9.08171
Marist,101.729,113.368,0.223434,49.9,52.6,18.4,15.7,21.6,32.9,67.1979,2017,-17.5742
Toledo,108.714,104.931,0.600441,54.4,51.2,18.5,14.2,29.0,25.5,66.7535,2017,-9.43623
Denver,106.204,110.277,0.393459,54.8,51.4,19.4,15.5,28.8,24.7,66.7539,2017,-9.28976
Cal St. Northridge,104.297,115.361,0.238767,49.7,51.9,17.9,17.8,27.7,31.8,72.8691,2017,-14.0319
Maryland,114.094,98.8933,0.838119,52.4,47.5,19.0,18.0,30.4,32.3,67.2166,2017,3.67677
Rice,106.983,107.825,0.477488,53.9,50.0,19.4,17.4,28.6,26.2,72.5016,2017,-6.106
