Simulation,Champion
1,Iowa St.
2,Duke
3,Illinois
4,Illinois
5,Florida
6,Illinois
7,Purdue
8,Houston
9,Iowa St.
10,Houston
11,Illinois
12,Duke
13,Duke
14,Illinois
15,Illinois
16,Illinois
17,Illinois
18,Duke
19,Purdue
20,Illinois
21,Houston
22,Illinois
23,Illinois
24,Michigan
25,Michigan
26,Arizona
27,Houston
28,Duke
29,Houston
30,Houston
31,Duke
32,Florida
33,Iowa St.
34,Iowa St.
35,Houston
36,Illinois
37,Illinois
38,Arizona
39,Houston
40,Duke
41,Illinois
42,Illinois
43,Duke
44,Iowa St.
45,Iowa St.
46,Houston
47,Purdue
48,Illinois
49,Michigan
50,Illinois
51,Illinois
52,Duke
53,Houston
54,Illinois
55,Illinois
56,Arizona
57,Illinois
58,Illinois
59,Duke
60,Michigan
61,Iowa St.
62,Duke
63,Duke
64,Michigan
65,Illinois
66,Purdue
67,Illinois
68,Illinois
69,Florida
70,Iowa St.
71,Duke
72,Houston
73,Illinois
74,Florida
75,Illinois
76,Houston
77,Florida
78,Duke
79,Purdue
80,Illinois
81,Illinois
82,Duke
83,Duke
84,Duke
85,Illinois
86,Illinois
87,Houston
88,Illinois
89,Illinois
90,Purdue
91,Michigan
92,Duke
93,Iowa St.
94,Iowa St.
95,Iowa St.
96,Illinois
97,Duke
98,Houston
99,Illinois
100,Illinois
