
"UC Santa Barbara",110.056,103.121,0.678854,17-14,17,31,49.6,47.8,32,39.9,16.9,17.9,30.7,29.8,62.2514,46.6,45.2,37,35.4,0,0,62,56.6,33.1,33.2,62.2514,,,,2015,,,,-5.00738,73.4,
"Arkansas Pine Bluff",92.3704,110.269,0.115392,12-20,12,32,46.3,51.2,35.6,48.8,23.5,24.9,30.5,39.5,63.4522,44.2,48.8,33.3,36.9,0,0,49.2,59,37.4,35.9,63.4522,,,,2015,,,,-14.8887,68,
Toledo,113.479,105.67,0.694218,20-13,20,33,52.3,49.7,41.2,31,18.1,16.2,33.3,29.4,66.5453,51.2,51,36.6,31.7,0,0,49.7,50.5,29,38.2,66.5453,,,,2015,,,,-4.72863,74.2,
Indiana,120.952,105.13,0.833711,20-14,20,34,54.4,50.3,32.7,32.8,17.2,15.9,35.3,31.5,66.5463,50.2,50.9,40.6,32.5,0,0,51.2,47.6,39.5,30.4,66.5463,,,,2015,,,,-0.373078,71.9,
Louisiana,106.185,102.306,0.605372,19-14,19,33,50.1,48,39.6,37.4,20.5,18.4,34.6,27.6,69.8127,49.2,47.8,34.7,32.3,0,0,54.1,43.7,31.4,29.8,69.8127,,,,2015,,,,0,72,
"Central Michigan",115.328,107.201,0.698534,20-9,20,29,54.5,51.7,36.6,36.2,15.1,19.7,28.8,30.9,63.9474,53.7,51.7,36.9,34.4,0,0,52.3,45.4,48.1,36.2,63.9474,,,,2015,,,,-2.33832,72.7,
Brown,100.318,106.985,0.323029,11-18,11,29,47,48.5,45,36.4,21.6,16.4,29.8,30.5,67.5744,47.2,47,31.1,34.7,0,0,52,50.7,33.3,30.6,67.5744,,,,2015,,,,-12.0059,69.7,
"Wright St.",98.4832,105.474,0.312454,9-20,9,29,49.8,51.2,31.5,41.2,19,19.8,23.2,30.8,63.0945,49,50.4,34.1,35.3,0,0,57.2,54.5,35.4,32.4,63.0945,,,,2015,,,,-13.4455,68.7,
"UC Irvine",106.986,98.9253,0.711129,19-13,19,32,50.7,44.7,30.2,35.3,18.2,17.2,30,30.7,63.2787,47.8,42.4,38.2,33.6,0,0,56,49,30.3,29.1,63.2787,,,,2015,,,,-4.31393,68.4,
Montana,106.666,106.197,0.512672,18-13,18,31,53.7,51.3,33.3,43.6,18,19.9,27.6,28.7,61.8511,52.9,49.4,36.6,36.1,0,0,56.3,52.3,41.4,38.4,61.8511,,,,2015,,,,-6.78665,71.7,
UAB,104.499,102.076,0.567033,19-16,19,35,47.6,47.6,35.7,33.6,20.1,19.7,34.2,33.1,64.7184,46.6,47.4,33.2,31.9,0,0,59,49.2,30.1,31.8,64.7184,,,,2015,,,,-7.23686,73.7,
Tulane,99.6676,103.897,0.382729,14-16,14,30,46.4,49.9,34.7,36.1,19.9,20.3,32.6,29.3,63.0517,45.5,49.6,32,33.7,0,0,49.6,50.2,36.2,29.3,63.0517,,,,2015,,,,-8.79255,65.2,
FIU,96.0653,104.615,0.272794,14-17,14,31,48.2,48,37.4,36.6,22.6,19.2,29,31.9,64.4588,48.6,46.4,31.3,33.7,0,0,47.9,58,28.4,38.6,64.4588,,,,2015,,,,-11.1608,64.3,
BYU,120.043,102.393,0.861626,23-10,23,33,53.2,49.6,42.5,39.2,16.4,17.7,33.4,28.4,70.2391,50.2,49.6,39,33.1,0,0,60.4,55.9,36.6,32.3,70.2391,,,,2015,,,,0.931277,76.8,
"Illinois Chicago",100.957,111.312,0.245476,8-24,8,32,43.6,54.4,40,39,17.4,18,30.8,28.5,64.8171,41.5,51.9,31.8,40.3,0,0,56.5,61.7,33.9,29.1,64.8171,,,,2015,,,,-16.5433,73.9,
Xavier,117.404,97.3874,0.895633,23-14,23,37,53.3,50,38.5,33.3,18.1,18.8,31.3,27.3,64.9273,53.7,48.9,35.1,34.6,0,0,62.3,54.7,33.2,37.1,64.9273,,,,2015,,,,1.26713,73,
Charlotte,108.195,108.364,0.495515,14-18,14,32,51.7,50.6,36.9,33.1,19.6,18.4,33.7,31.3,66.8044,49.8,48.3,37.6,36.5,0,0,50.9,52.6,28.8,36.7,66.8044,,,,2015,,,,-9.93451,65,
Canisius,103.384,102.601,0.521829,18-15,18,33,46.6,46.9,32,40.7,18.4,21.5,34,32.3,63.2343,46.1,46.1,31.8,32.2,0,0,61,60.2,36.3,37,63.2343,,,,2015,,,,-8.94155,72,
"Wake Forest",106.251,100.297,0.659971,13-19,13,32,47.8,50.9,41.5,35.2,19.3,17.1,31.8,26.4,68.0654,46.5,51.1,33.6,33.8,0,0,59.2,52,33.9,35.2,68.0654,,,,2015,,,,-5.7527,63.8,
"Florida Atlantic",99.062,109.918,0.232206,7-20,7,27,48.2,49.9,27.8,37.6,19.5,16.7,26,31.5,63.771,45.6,51.3,34.9,29.9,0,0,44.6,40.7,38.1,21.1,63.771,,,,2015,,,,-14.7314,67.8,
Northeastern,109.039,102.928,0.660001,23-12,23,35,54.5,49.8,41.4,25,21.5,15.5,30.1,25.3,63.0276,53,49.1,38.6,34.4,0,0,59.7,49.9,30.5,28.8,63.0276,,,,2015,,,,-4.24514,72.5,
"Robert Morris",102.849,105.06,0.439166,20-15,20,35,50.1,49.3,35.5,37.6,19.8,21.8,31,35.9,65.3572,47.4,48.3,37.5,34.1,0,0,50.1,62.2,30.6,36.4,65.3572,,,,2015,,,,-8.29708,70.9,
Seattle,98.7449,103.456,0.369122,16-16,16,32,50.8,47,36.4,33.5,22,17.3,30.9,28.5,61.9001,47.5,45.1,37.8,33.3,0,0,63.2,63.5,36,40.1,61.9001,,,,2015,,,,-11.3027,66.3,
Villanova,123.608,93.3355,0.961968,33-3,33,36,55.3,45.5,41.8,30.4,16.3,21.6,32.5,31.2,64.07,53,45.3,38.9,30.5,0,0,62.2,54,42.9,32.2,64.07,,,,2015,,,,11.2273,73.1,
Howard,92.8442,102.417,0.244444,13-16,13,29,46.2,45.7,43.4,40.1,25,21.4,33.5,34.6,62.5023,47.4,44.8,28.9,31.4,0,0,39,60.9,30.7,38.7,62.5023,,,,2015,,,,-11.3789,69.9,
"Utah St.",107.717,103.616,0.609769,17-13,17,30,52.4,45.8,36.4,29.1,16.3,17,21.7,34,63.4514,48.5,46.3,39.4,29.9,0,0,61.7,57.7,37.2,35.9,63.4514,,,,2015,,,,-5.9049,66.5,
Marist,94.7387,105.995,0.215669,7-25,7,32,46.8,49.6,38,36.7,20.5,20.8,21.2,35.6,64.7206,46.4,49.6,31.5,33.1,0,0,51.8,57.1,44,34.5,64.7206,,,,2015,,,,-19.5926,70,
"Portland St.",102.814,109.723,0.321291,13-14,13,27,48.7,52.7,37.2,31.4,16.4,17.5,27.6,32.1,65.6166,45.5,50.2,37.3,38.5,0,0,52,56.4,31,33.2,65.6166,,,,2015,,,,-9.61917,74.4,
Denver,105.628,109.165,0.406399,12-18,12,30,56.2,52.9,31.2,51.2,19.1,20.4,19.3,29.6,57.2272,55.5,51.7,38,37.1,0,0,69.6,48.5,43,29.8,57.2272,,,,2015,,,,-12.2463,76.6,
"Cal St. Northridge",101.065,109.201,0.291034,7-24,7,31,45.3,51,41.1,35.9,19.5,16.6,28.4,30.5,65.1369,44.3,48.5,33,36.6,0,0,60.6,56,19,38.6,65.1369,,,,2015,,,,-15.5723,76.6,
Maryland,111.828,96.0427,0.851943,28-7,28,35,51.2,45.5,44.5,28.1,18.9,17.2,28.9,30.5,63.8356,48,44.1,37.6,31.8,0,0,48.1,48.1,38.7,37.5,63.8356,,,,2015,,,,6.82749,75.6,
Rice,102.442,105.748,0.409676,10-19,10,29,51.7,49.9,33.7,40.1,22.1,19.6,26.5,32.2,61.7012,47.6,49,37.3,34.5,0,0,58.5,58,49.4,32.2,61.7012,,,,2015,,,,-12.9478,74.5,
"Abilene Christian",92.7099,112.938,0.0936617,7-21,7,28,47.3,55.3,28.3,44.7,19.8,20.8,24.1,33.9,63.3794,42,55.2,37.8,37,0,0,55.3,51.6,36.2,32.9,63.3794,,,,2015,,,,-16.5441,72.8,
Rider,100.847,100.898,0.498539,21-12,21,33,49.4,47.5,35.6,37.7,19.2,21.6,31.1,29.6,64.0199,49,46.6,33.4,32.7,0,0,51,56.8,33.5,38.4,64.0199,,,,2015,,,,-5.18708,60.3,
"Boston College",110.227,101.327,0.724759,13-19,13,32,50.8,49.4,35,40.8,18.8,18.8,26,30.9,63.2796,52.1,49,32.4,33.5,0,0,56.7,53.5,38.3,31.5,63.2796,,,,2015,,,,-5.95048,70.5,
Arizona,119.167,89.1855,0.965536,34-4,34,38,53.5,45.1,47.1,37.3,16.5,20.6,34.5,22.4,66.1067,53.3,42.7,36,33.5,0,0,52.3,47.6,25.9,31.5,66.1067,,,,2015,,,,8.94257,71.9,
"Penn St.",105.655,96.2837,0.744238,18-16,18,34,48,45.3,34.7,41.5,18.2,17.8,29.7,31,65.2897,46.8,43.6,33.4,32.6,0,0,42.3,52.5,35.9,33.3,65.2897,,,,2015,,,,-3.62887,69.5,
Hawaii,106.187,100.085,0.663885,20-13,20,33,49.3,47.6,36.7,42,18.7,23.4,32.2,34.4,69.0249,49.3,45.2,32.8,34.8,0,0,52,55.9,34.4,34.4,69.0249,,,,2015,,,,-5.98423,68.9,
"San Diego",103.78,97.6136,0.669175,14-16,14,30,48,47.9,38.4,42,18.4,21.3,30,31.6,62.9295,46,46.9,34.5,33.7,0,0,56.2,52.1,34.7,27.4,62.9295,,,,2015,,,,-6.26074,69,
"UC Davis",111.748,106.906,0.624666,23-7,23,30,57.3,48.4,39.3,33.3,20.9,17.9,28.6,33.7,62.4819,51.7,46.5,44.1,34.6,0,0,53.7,53.4,39.1,35,62.4819,,,,2015,,,,-0.704817,74.1,
LSU,109.342,95.1512,0.831833,22-11,22,33,50.3,44.6,33.5,29.4,20.2,19.1,33.9,32.9,69.5274,50.1,43.9,33.9,30.9,0,0,57.7,47,28.4,29.2,69.5274,,,,2015,,,,0.449064,68.4,
"St. Francis NY",102.231,103.994,0.450994,22-12,22,34,46.3,47.4,40.9,40.2,19.8,20.2,39.6,28.8,64.3896,47.5,44.7,29.1,36.7,0,0,51.1,47.6,32.5,26.5,64.3896,,,,2015,,,,-6.88139,67.8,
"Fresno St.",102.749,105.972,0.412119,13-17,13,30,47.1,49.4,38.8,44.3,17.2,20.3,25.9,32.7,64.7438,47.2,48,31.3,34.8,0,0,44.9,53.9,33.4,33.4,64.7438,,,,2015,,,,-9.17397,69.3,
