Season,WTeamID,LTeamID,TeamID_W,Team_W,AdjOE_W,AdjDE_W,BARTHAG_W,EFG%_W,EFGD%_W,TOR_W,TORD_W,ORB_W,DRB_W,ADJ T_W,WAB_W,TeamID_L,Team_L,AdjOE_L,AdjDE_L,BARTHAG_L,EFG%_L,EFGD%_L,TOR_L,TORD_L,ORB_L,DRB_L,ADJ T_L,WAB_L
2017,1425,1344,1425.0,USC,114.119,101.559,0.792639,52.2,50.1,15.7,17.9,31.0,31.4,68.6965,1.35628,1344.0,Providence,108.911,95.4453,0.820209,51.4,49.6,18.4,20.3,26.4,28.6,66.2759,0.58169
2017,1112,1315,1112.0,Arizona,118.36,96.4548,0.913216,53.7,47.7,16.6,17.4,33.2,26.0,65.7283,7.9045,1315.0,North Dakota,103.931,103.444,0.513511,53.4,50.7,18.3,19.6,26.0,27.8,71.1421,-5.23695
2017,1139,1457,1139.0,Butler,118.451,97.8115,0.900403,54.6,50.8,15.0,19.6,27.2,27.0,65.8709,5.50749,1457.0,Winthrop,106.269,102.171,0.611173,53.5,46.7,17.8,18.6,26.3,28.4,70.9324,-1.6689
2017,1321,1435,1321.0,Northwestern,111.853,95.8361,0.855362,49.7,46.1,16.0,17.9,30.8,30.6,65.5415,1.95339,1435.0,Vanderbilt,113.101,94.7487,0.88454,52.1,48.1,18.2,16.1,24.8,27.0,65.6725,0.0781578
2017,1323,1343,1323.0,Notre Dame,120.04,97.4161,0.916951,53.6,49.1,14.0,18.7,27.3,30.8,66.9244,5.92404,1343.0,Princeton,108.555,96.2984,0.798639,53.2,48.7,15.2,20.2,24.1,24.7,62.8204,-0.284635
2017,1345,1436,1345.0,Purdue,117.253,94.13,0.925952,55.7,47.7,18.3,16.6,30.8,24.4,69.052,5.5759,1436.0,Vermont,110.974,99.0292,0.78745,55.3,48.6,17.0,19.6,29.8,27.1,64.4809,0.857841
2017,1438,1423,1438.0,Virginia,112.525,87.9017,0.944798,52.4,46.1,15.6,20.7,28.3,24.5,58.9518,4.9618,1423.0,UNC Wilmington,118.75,105.877,0.789094,55.0,53.2,13.9,20.1,32.5,28.5,70.1236,1.69208
2017,1452,1137,1452.0,West Virginia,116.022,90.2814,0.947086,51.3,48.8,17.0,27.6,37.9,31.9,70.8525,6.34731,1137.0,Bucknell,109.072,99.84,0.734399,55.3,48.0,18.9,19.7,26.8,27.9,70.0124,-1.96031
2017,1458,1439,1458.0,Wisconsin,115.328,93.0862,0.921576,52.1,47.5,17.0,19.5,35.9,25.9,63.0172,5.11989,1439.0,Virginia Tech,119.044,103.45,0.834062,56.9,51.0,17.2,16.5,23.4,30.5,68.6586,3.30382
2017,1462,1268,1462.0,Xavier,116.27,98.8692,0.865798,51.9,51.6,18.4,17.5,34.5,25.5,67.0475,1.55032,1268.0,Maryland,114.094,98.8933,0.838119,52.4,47.5,19.0,18.0,30.4,32.3,67.2166,3.67677
2017,1116,1371,1116.0,Arkansas,115.517,100.75,0.828202,51.4,47.8,16.6,18.5,31.9,34.2,69.5944,3.88725,1371.0,Seton Hall,109.7,96.6041,0.81183,49.9,49.0,19.5,17.5,35.7,25.4,67.5086,2.60993
2017,1181,1407,1181.0,Duke,122.793,96.5422,0.940809,54.8,47.4,16.3,17.3,31.7,29.8,68.2842,8.52566,1407.0,Troy,109.598,107.287,0.560962,51.6,50.1,17.8,17.6,30.8,29.8,67.997,-7.89745
2017,1242,1413,1242.0,Kansas,122.2,95.5535,0.944206,56.1,48.1,17.6,18.6,34.1,29.7,69.9972,10.9345,1413.0,UC Davis,98.2984,101.598,0.406201,48.4,48.7,20.3,19.6,29.1,28.3,68.952,-7.36526
