Team_A,Team_B
Connecticut,Stetson
Northwestern,Florida Atlantic
San Diego St.,UAB
Yale,Auburn
Duquesne,BYU
Illinois,Morehead St.
Washington St.,Drake
Iowa St.,South Dakota St.
North Carolina,Wagner
Michigan St.,Mississippi St.
Grand Canyon,Saint Mary's
Alabama,Charleston
Clemson,New Mexico
Baylor,Colgate
Dayton,Nevada
Arizona,Long Beach St.
Houston,Longwood
Texas A&M,Nebraska
James Madison,Wisconsin
Duke,Vermont
N.C. State,Texas Tech
Oakland,Kentucky
Colorado,Florida
Marquette,Western Kentucky
Purdue,Grambling St.
Utah St.,TCU
Gonzaga,McNeese St.
Kansas,Samford
Oregon,South Carolina
Creighton,Akron
Texas,Colorado St.
Tennessee,Saint Peter's
