Season,WTeamID,LTeamID,TeamID_W,Team_W,AdjOE_W,AdjDE_W,BARTHAG_W,EFG%_W,EFGD%_W,TOR_W,TORD_W,ORB_W,DRB_W,ADJ T_W,WAB_W,TeamID_L,Team_L,AdjOE_L,AdjDE_L,BARTHAG_L,EFG%_L,EFGD%_L,TOR_L,TORD_L,ORB_L,DRB_L,ADJ T_L,WAB_L
2010,1139,1431,1139.0,Butler,109.803,89.5546,0.912472,51.0,46.6,18.7,21.6,30.4,27.4,62.8615,4.64466,1431.0,UTEP,108.394,90.8549,0.883891,52.8,44.6,18.7,22.3,28.9,30.2,67.7995,2.26623
2010,1140,1196,1140.0,BYU,117.662,94.5906,0.924837,54.9,46.6,15.9,22.0,30.8,28.1,70.3058,4.08949,1196.0,Florida,113.337,98.1519,0.839464,49.4,48.4,18.5,20.3,37.0,32.8,64.1202,-0.0195804
2010,1242,1250,1242.0,Kansas,120.995,91.0398,0.963427,55.1,43.2,18.7,20.0,38.4,31.7,66.9845,11.6953,1250.0,Lehigh,105.767,106.335,0.484608,51.4,48.7,18.4,19.4,29.8,29.5,69.081,-6.61883
2010,1307,1285,1307.0,New Mexico,114.844,98.4721,0.854299,50.6,49.5,16.2,19.9,35.4,27.2,66.8815,4.99631,1285.0,Montana,105.475,101.151,0.618093,54.2,47.6,19.1,19.5,30.2,29.6,61.5864,-4.4873
2010,1320,1424,1320.0,Northern Iowa,109.483,90.7478,0.896446,49.6,46.6,17.9,20.4,30.7,26.8,58.7134,3.88852,1424.0,UNLV,111.552,93.3026,0.886389,52.2,45.8,17.2,22.7,29.0,30.8,66.1814,1.01627
2010,1325,1207,1325.0,Ohio,107.45,100.088,0.693434,49.4,46.8,18.1,21.6,31.2,34.2,68.6711,-7.58592,1207.0,Georgetown,116.752,95.8681,0.906054,55.7,47.4,20.9,19.7,33.1,32.2,65.1614,4.26113
2010,1330,1323,1330.0,Old Dominion,108.072,91.314,0.874093,48.8,45.5,20.1,22.4,42.4,30.2,62.0641,0.759194,1323.0,Notre Dame,120.275,100.403,0.888622,53.7,49.3,16.0,15.9,34.7,30.5,63.1485,0.445019
2010,1437,1352,1437.0,Villanova,117.467,96.5986,0.904588,52.2,47.4,18.9,21.1,37.7,32.0,70.7961,5.49247,1352.0,Robert Morris,100.344,101.39,0.47022,48.9,46.9,21.9,23.1,34.6,32.5,65.7253,-6.35812
2010,1448,1400,1448.0,Wake Forest,107.575,93.6281,0.831582,47.0,43.8,21.1,19.1,38.8,33.7,68.5407,1.04596,1400.0,Texas,114.075,94.0009,0.90255,51.1,44.9,18.3,20.4,38.9,32.1,71.2174,3.83206
2010,1449,1266,1449.0,Washington,113.021,93.737,0.895802,49.7,46.5,17.5,22.0,36.9,32.2,71.6833,1.20143,1266.0,Marquette,115.388,95.5254,0.897751,52.8,49.7,15.9,22.0,31.2,33.0,62.5429,1.71657
2010,1143,1257,1143.0,California,120.447,97.8355,0.916146,53.3,48.3,17.7,18.7,34.7,31.1,66.8423,1.72101,1257.0,Louisville,114.839,98.5899,0.852513,51.4,48.5,20.0,22.3,39.8,36.9,65.8284,-0.105631
2010,1165,1396,1165.0,Cornell,118.037,101.9,0.844288,56.5,48.1,18.6,20.7,32.1,29.9,64.1619,2.01815,1396.0,Temple,108.246,88.9872,0.904911,49.1,43.0,16.8,18.1,32.4,27.9,60.0141,5.43612
2010,1268,1222,1268.0,Maryland,118.296,96.7234,0.910143,51.8,45.0,16.3,21.3,35.3,36.8,68.7798,3.32237,1222.0,Houston,112.534,102.957,0.735535,48.1,51.2,12.4,23.1,30.5,38.5,71.1426,-6.2362
2010,1281,1155,1281.0,Missouri,112.136,92.2749,0.903941,50.1,45.9,17.8,27.1,34.7,38.1,69.1066,1.60785,1155.0,Clemson,111.41,91.5293,0.905546,51.1,46.4,21.4,24.6,36.5,33.5,67.9702,1.51044
2010,1338,1324,1338.0,Pittsburgh,111.781,93.7216,0.883547,49.6,44.6,19.4,16.9,37.0,31.1,60.8754,3.68008,1324.0,Oakland,107.386,104.471,0.578477,49.0,50.3,19.7,18.4,36.9,31.1,68.7912,-0.944401
2010,1345,1373,1345.0,Purdue,109.24,87.687,0.926041,49.1,44.8,16.3,23.4,29.4,31.8,65.9989,6.53855,1373.0,Siena,108.729,96.5843,0.796106,49.3,48.0,17.4,21.6,35.5,29.5,69.2862,1.09242
2010,1393,1436,1393.0,Syracuse,118.548,91.4107,0.952096,57.6,45.9,21.4,22.0,37.1,34.3,69.4908,7.53378,1436.0,Vermont,103.52,101.28,0.562555,48.2,45.0,20.5,20.2,36.3,33.6,66.4073,-4.87946
2010,1458,1459,1458.0,Wisconsin,116.072,92.0591,0.934956,51.4,46.8,14.5,19.9,30.2,26.4,58.8443,3.83409,1459.0,Wofford,104.764,95.0196,0.754492,49.1,46.5,18.3,21.3,33.6,29.2,63.0144,-1.70111
2010,1462,1278,1462.0,Xavier,116.619,95.8412,0.905213,52.2,45.6,18.0,17.8,35.2,29.9,68.329,2.88553,1278.0,Minnesota,114.47,94.7456,0.89797,53.1,46.5,19.0,21.3,33.4,32.5,65.6342,-0.354868
2010,1124,1330,1124.0,Baylor,120.397,95.2555,0.936653,54.4,44.5,20.3,17.8,38.2,33.2,64.0629,5.54813,1330.0,Old Dominion,108.072,91.314,0.874093,48.8,45.5,20.1,22.4,42.4,30.2,62.0641,0.759194
2010,1246,1448,1246.0,Kentucky,115.521,89.087,0.952034,53.0,43.1,20.3,19.7,40.9,31.8,68.072,8.6775,1448.0,Wake Forest,107.575,93.6281,0.831582,47.0,43.8,21.1,19.1,38.8,33.7,68.5407,1.04596
2010,1320,1242,1320.0,Northern Iowa,109.483,90.7478,0.896446,49.6,46.6,17.9,20.4,30.7,26.8,58.7134,3.88852,1242.0,Kansas,120.995,91.0398,0.963427,55.1,43.2,18.7,20.0,38.4,31.7,66.9845,11.6953
2010,1397,1325,1397.0,Tennessee,109.47,91.5036,0.88712,50.6,45.2,18.9,23.1,33.5,32.3,67.5197,3.89226,1325.0,Ohio,107.45,100.088,0.693434,49.4,46.8,18.1,21.6,31.2,34.2,68.6711,-7.58592
2010,1449,1307,1449.0,Washington,113.021,93.737,0.895802,49.7,46.5,17.5,22.0,36.9,32.2,71.6833,1.20143,1307.0,New Mexico,114.844,98.4721,0.854299,50.6,49.5,16.2,19.9,35.4,27.2,66.8815,4.99631
2010,1165,1458,1165.0,Cornell,118.037,101.9,0.844288,56.5,48.1,18.6,20.7,32.1,29.9,64.1619,2.01815,1458.0,Wisconsin,116.072,92.0591,0.934956,51.4,46.8,14.5,19.9,30.2,26.4,58.8443,3.83409
2010,1181,1143,1181.0,Duke,121.777,89.1395,0.973087,50.5,43.7,16.5,21.3,40.7,32.3,64.7677,8.41445,1143.0,California,120.447,97.8355,0.916146,53.3,48.3,17.7,18.7,34.7,31.1,66.8423,1.72101
2010,1345,1401,1345.0,Purdue,109.24,87.687,0.926041,49.1,44.8,16.3,23.4,29.4,31.8,65.9989,6.53855,1401.0,Texas A&M,112.276,91.12,0.916901,49.6,46.7,18.4,20.6,33.5,29.7,64.5805,4.3347
2010,1393,1211,1393.0,Syracuse,118.548,91.4107,0.952096,57.6,45.9,21.4,22.0,37.1,34.3,69.4908,7.53378,1211.0,Gonzaga,112.418,94.9731,0.874272,54.0,46.8,18.6,18.2,32.0,28.6,67.7975,2.57078
2010,1452,1281,1452.0,West Virginia,117.256,92.8431,0.936114,48.9,46.9,18.3,20.6,42.0,32.1,62.0476,8.02423,1281.0,Missouri,112.136,92.2749,0.903941,50.1,45.9,17.8,27.1,34.7,38.1,69.1066,1.60785
2010,1462,1338,1462.0,Xavier,116.619,95.8412,0.905213,52.2,45.6,18.0,17.8,35.2,29.9,68.329,2.88553,1338.0,Pittsburgh,111.781,93.7216,0.883547,49.6,44.6,19.4,16.9,37.0,31.1,60.8754,3.68008
2010,1139,1393,1139.0,Butler,109.803,89.5546,0.912472,51.0,46.6,18.7,21.6,30.4,27.4,62.8615,4.64466,1393.0,Syracuse,118.548,91.4107,0.952096,57.6,45.9,21.4,22.0,37.1,34.3,69.4908,7.53378
2010,1246,1165,1246.0,Kentucky,115.521,89.087,0.952034,53.0,43.1,20.3,19.7,40.9,31.8,68.072,8.6775,1165.0,Cornell,118.037,101.9,0.844288,56.5,48.1,18.6,20.7,32.1,29.9,64.1619,2.01815
2010,1452,1449,1452.0,West Virginia,117.256,92.8431,0.936114,48.9,46.9,18.3,20.6,42.0,32.1,62.0476,8.02423,1449.0,Washington,113.021,93.737,0.895802,49.7,46.5,17.5,22.0,36.9,32.2,71.6833,1.20143
2010,1181,1345,1181.0,Duke,121.777,89.1395,0.973087,50.5,43.7,16.5,21.3,40.7,32.3,64.7677,8.41445,1345.0,Purdue,109.24,87.687,0.926041,49.1,44.8,16.3,23.4,29.4,31.8,65.9989,6.53855
2010,1452,1246,1452.0,West Virginia,117.256,92.8431,0.936114,48.9,46.9,18.3,20.6,42.0,32.1,62.0476,8.02423,1246.0,Kentucky,115.521,89.087,0.952034,53.0,43.1,20.3,19.7,40.9,31.8,68.072,8.6775
2010,1181,1124,1181.0,Duke,121.777,89.1395,0.973087,50.5,43.7,16.5,21.3,40.7,32.3,64.7677,8.41445,1124.0,Baylor,120.397,95.2555,0.936653,54.4,44.5,20.3,17.8,38.2,33.2,64.0629,5.54813
2010,1181,1452,1181.0,Duke,121.777,89.1395,0.973087,50.5,43.7,16.5,21.3,40.7,32.3,64.7677,8.41445,1452.0,West Virginia,117.256,92.8431,0.936114,48.9,46.9,18.3,20.6,42.0,32.1,62.0476,8.02423
2010,1181,1139,1181.0,Duke,121.777,89.1395,0.973087,50.5,43.7,16.5,21.3,40.7,32.3,64.7677,8.41445,1139.0,Butler,109.803,89.5546,0.912472,51.0,46.6,18.7,21.6,30.4,27.4,62.8615,4.64466
2011,1155,1412,1155.0,Clemson,110.452,91.7979,0.893537,50.3,45.6,20.1,23.2,34.2,32.5,63.4014,0.51484,1412.0,UAB,108.384,96.7078,0.787651,50.8,45.9,19.3,19.2,33.4,30.6,61.6705,-0.0692343
2011,1433,1425,1433.0,VCU,112.63,99.8674,0.799476,51.1,49.2,17.1,22.1,30.9,36.4,65.1161,-1.92985,1425.0,USC,107.874,93.629,0.835986,49.9,46.2,17.8,18.4,29.9,28.5,61.8073,-1.71414
2011,1139,1330,1139.0,Butler,112.201,95.9661,0.857831,49.8,48.1,16.9,18.9,33.2,28.1,63.2687,-0.376352,1330.0,Old Dominion,109.934,96.35,0.820056,48.5,47.3,20.6,19.0,45.4,28.2,60.1913,2.3607
2011,1140,1459,1140.0,BYU,117.187,95.2339,0.915716,51.6,46.7,15.2,20.2,30.8,28.5,70.022,7.24233,1459.0,Wofford,112.329,103.44,0.720728,53.0,49.8,18.0,20.2,34.1,32.4,63.3184,-4.52493
2011,1153,1281,1153.0,Cincinnati,111.438,92.6434,0.893228,49.4,45.8,17.9,22.0,38.2,31.0,62.704,3.22466,1281.0,Missouri,113.716,98.2894,0.842447,51.5,49.3,17.0,24.6,33.4,36.9,70.4168,1.31734
2011,1163,1137,1163.0,Connecticut,115.783,93.618,0.920102,48.2,44.5,17.1,17.4,38.7,34.1,64.1884,6.76529,1137.0,Bucknell,104.282,98.0602,0.66984,50.9,45.4,16.9,17.7,25.2,29.0,64.5542,-2.10574
2011,1196,1364,1196.0,Florida,116.421,95.3957,0.908095,52.1,47.2,18.7,19.1,37.2,30.0,62.4251,5.23493,1364.0,UC Santa Barbara,102.683,100.702,0.555772,51.6,47.3,21.9,20.0,28.2,31.9,64.3001,-6.67969
2011,1246,1343,1246.0,Kentucky,119.308,93.3652,0.94373,52.3,44.2,16.1,18.2,34.3,30.7,64.8352,5.16692,1343.0,Princeton,107.23,98.6302,0.7234,52.0,47.1,18.7,18.3,31.1,26.9,62.4115,-0.110237
2011,1338,1421,1338.0,Pittsburgh,119.756,94.0806,0.941311,52.9,45.1,18.4,17.5,42.9,28.6,62.1525,7.49206,1421.0,UNC Asheville,99.813,100.077,0.492396,48.9,47.9,21.2,24.0,31.4,36.0,68.0015,-7.9984
2011,1350,1435,1350.0,Richmond,112.311,97.6339,0.833481,53.1,45.1,16.3,19.4,28.6,33.4,61.8579,1.83305,1435.0,Vanderbilt,116.998,99.299,0.868325,52.9,46.0,19.0,17.5,32.9,32.1,66.3105,1.80023
2011,1452,1155,1452.0,West Virginia,115.534,95.2185,0.902387,48.5,45.9,18.8,18.6,40.2,35.5,62.1439,2.92742,1155.0,Clemson,110.452,91.7979,0.893537,50.3,45.6,20.1,23.2,34.2,32.5,63.4014,0.51484
2011,1458,1125,1458.0,Wisconsin,123.053,97.8279,0.933277,51.8,48.2,13.1,16.8,33.8,27.1,56.49,5.63691,1125.0,Belmont,111.629,94.8727,0.866501,54.2,46.1,19.7,27.3,37.4,32.1,67.9089,1.11512
2011,1112,1272,1112.0,Arizona,118.691,98.0063,0.900446,54.1,48.6,18.8,18.5,34.0,29.2,64.8621,4.62388,1272.0,Memphis,104.775,97.2866,0.701158,50.5,46.8,21.9,21.3,35.3,35.0,67.6767,0.0735346
2011,1181,1214,1181.0,Duke,120.595,91.4723,0.960021,53.7,44.5,17.2,21.0,35.1,33.2,68.4869,9.28864,1214.0,Hampton,94.2248,99.2604,0.354634,45.9,43.1,18.0,22.8,29.3,35.9,65.6448,-5.43245
